年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),日照時間(時間)
2021/1/1,3,5.9,1.2,0,2.5
2021/1/2,3.7,8.3,-1,0,6.4
2021/1/3,4,7.9,1.5,0,1.2
2021/1/4,5.6,11,2.7,0,6.7
2021/1/5,5.3,8.6,2,0,1.1
2021/1/6,6.5,10.7,3.9,0,5.4
2021/1/7,3.3,8.1,-0.9,0,4.5
2021/1/8,0,4.1,-2.2,0,6.3
2021/1/9,0.5,5.8,-3.7,0,8.7
2021/1/10,1.3,5.8,-1.8,0,7.7
2021/1/11,2.2,6,-1,0,2
2021/1/12,2.9,4.4,1.2,1.5,0.2
2021/1/13,3.8,10.1,-0.6,0,9.4
2021/1/14,6.3,12.3,0.6,0,7
2021/1/15,7,14.2,1.1,0,9
2021/1/16,6.8,12.5,2.7,0,3.6
2021/1/17,4.7,9.1,2.4,0,1.1
2021/1/18,4.2,8.6,0.1,0,9.3
2021/1/19,3.1,6.5,-0.2,0,6.8
2021/1/20,3.1,9.2,-2.1,0,9.9
2021/1/21,5.4,13.1,-1.2,0,8.9
2021/1/22,7.7,11.1,4.5,0.5,0
2021/1/23,8.3,8.9,7.4,19,0
2021/1/24,8.2,10.2,7,10.5,0
2021/1/25,9,15.4,4.8,0,9.3
2021/1/26,9.6,15.4,3.9,8,6.6
2021/1/27,10.9,15.1,6.7,15,6.7
2021/1/28,7.7,10.2,5.1,0,0
2021/1/29,2.4,7.7,0,1.5,4.9
2021/1/30,2.8,6.8,-1.2,0.5,6.8
2021/1/31,5.7,10.9,2.2,0,9.7
2021/2/1,5.1,10.1,-0.3,0,2.7
2021/2/2,7.6,13.8,3.9,11.5,6.3
2021/2/3,4,6.5,2.2,0,1.6
2021/2/4,3.8,6.5,0.4,0,2.5
2021/2/5,5.5,11,0,0,7.9
2021/2/6,9,15.1,3.4,0,9.8
2021/2/7,8.7,14.5,4.7,0,6.1
2021/2/8,5.8,10.7,2.3,0,5.8
2021/2/9,3.4,8.2,-0.4,0,6
2021/2/10,7,11.7,3.1,0,6.6
2021/2/11,8.6,14.2,3.6,0,9.7
2021/2/12,9.5,15.7,4.6,0,2.3
2021/2/13,12.3,17.6,8.4,0,2.7
2021/2/14,13.9,19.3,10.2,0,3.3
2021/2/15,12.6,15.5,10,34,0.9
2021/2/16,6.8,10.5,5,0,3.7
2021/2/17,4.1,8.4,-0.5,0,5.4
2021/2/18,0.5,5.4,-1.8,0.5,3
2021/2/19,3.6,9.2,-1.2,0,6.1
2021/2/20,6.8,14,-0.2,0,10.1
2021/2/21,11.3,19.1,4,0,10
2021/2/22,13.4,21,5.6,0,10.5
2021/2/23,9.4,13.8,4.2,0,5.4
2021/2/24,5.5,11.1,2,0,10.7
2021/2/25,7,13.1,0,0,9.3
2021/2/26,8.7,10.9,7,0.5,0
2021/2/27,7.8,13.4,4.3,0,9.8
2021/2/28,8.8,14.7,3.7,0,6.6
2021/3/1,12.9,18.3,8.2,0.5,4.2
2021/3/2,10.8,16.5,5.5,20.5,0.5
2021/3/3,7.3,13,2.8,0,10.7
2021/3/4,10.4,15.4,6.9,0,1.3
2021/3/5,11.3,14,9.7,14.5,0
2021/3/6,12.4,19.9,7.4,0,6.8
2021/3/7,8,10.5,4.2,0,3.6
2021/3/8,9.3,14.6,6.1,6.5,2.9
2021/3/9,9.7,14.8,4.6,0,1.8
2021/3/10,11.2,17.5,6,0,11
2021/3/11,10.7,18.2,3.7,0,9.3
2021/3/12,10.3,12.6,8.4,28.5,0
2021/3/13,10.6,14.7,8.4,51.5,2.2
2021/3/14,10,15.3,7.1,0,11.2
2021/3/15,11.1,18.1,4.2,0,10.6
2021/3/16,10.6,14.5,6.6,0,0.8
2021/3/17,11.1,18.4,6.7,0,10.3
2021/3/18,11.6,20.4,4.3,0,11.2
2021/3/19,13.7,21.8,6.9,0,10.7
2021/3/20,15,21,9.4,2,5.8
2021/3/21,15.3,19,11,27.5,0
2021/3/22,10.2,13.8,6.5,0,9.8
2021/3/23,10.2,16.3,4,0,11.6
2021/3/24,12.8,19.8,5.5,0,11.1
2021/3/25,13.1,16.1,9.9,1.5,0.8
2021/3/26,12.6,19.3,6.4,0,10.4
2021/3/27,13.7,19.8,6.9,0,6.4
2021/3/28,15.6,17.6,14.3,50,0
2021/3/29,18,24.5,13.6,0.5,10.8
2021/3/30,17.2,23.7,12.2,0,5.7
2021/3/31,16.2,23.8,10.1,0,11.3
2021/4/1,17.2,24.1,11.6,0,8.5
2021/4/2,18.2,23.6,14,0,9.2
2021/4/3,17,20.9,14.1,0,0.5
2021/4/4,15.8,17.3,14.5,23.5,0
2021/4/5,14.7,19.5,11.6,0,8.7
2021/4/6,12.9,19,9.2,7,3.5
2021/4/7,14.6,21.3,9.9,0,11
2021/4/8,14.4,21,8,0,8.6
2021/4/9,11.8,17.9,6.8,0,12.2
2021/4/10,11.4,18.3,5.2,0,12
2021/4/11,13.6,19.6,7.9,0,11.7
2021/4/12,15.3,21.4,8.8,0,8
2021/4/13,14.9,16.2,13,19.5,0
2021/4/14,16.1,22.7,10,2.5,6
2021/4/15,12.2,18.2,5.9,0,8.1
2021/4/16,14.1,16.9,11.8,0.5,0.1
2021/4/17,13.4,14.4,12.6,89,0
2021/4/18,10.4,14.5,7.1,1,6.8
2021/4/19,13.7,19.8,6.8,0,12.2
2021/4/20,17,25.3,8.9,0,12.1
2021/4/21,19.2,27.9,11.6,0,12.4
2021/4/22,19.9,27.6,11.8,0,11.5
2021/4/23,16.2,20.7,11.7,0,8.4
2021/4/24,17.1,21.9,14.1,0,6.1
2021/4/25,16.4,23.1,11.6,0,10.1
2021/4/26,13.8,21.2,8.8,0,12.9
2021/4/27,14.9,21.2,7.8,0,9
2021/4/28,15.8,19.5,13.5,8,0
2021/4/29,15.9,18,13.1,41,0
2021/4/30,16.9,24.1,11.8,0,9.9
2021/5/1,16.1,21.9,11.2,22,3.8
2021/5/2,13.5,18.4,10.7,1.5,5.2
2021/5/3,15.5,21.9,9.5,0,12.5
2021/5/4,17.1,24,10,0,10.1
2021/5/5,17.1,18.9,15.7,40,0
2021/5/6,20.3,27.2,13,2,11.9
2021/5/7,16,19.1,13.5,2.5,0
2021/5/8,18.3,23,12.4,0,5.2
2021/5/9,19.7,25,15,0,6.9
2021/5/10,18.4,26,11.2,0,10.1
2021/5/11,18.7,24.5,15,0,3.9
2021/5/12,18.4,22,15.2,0,0.7
2021/5/13,20.4,26.7,15.4,0,2.8
2021/5/14,23.7,30.7,17.5,0,12.6
2021/5/15,22,26.8,19.3,0,2
2021/5/16,18.1,20.7,16.9,5.5,0
2021/5/17,21.1,23.7,17.5,14.5,0
2021/5/18,22.7,27.7,19.6,11,4
2021/5/19,21.2,22.6,19.2,6,0.1
2021/5/20,20,22.2,17.2,25,0
2021/5/21,21.4,23.8,18.7,81,0
2021/5/22,19.8,24.1,17.2,0,3.5
2021/5/23,21,26.1,16,0,9.4
2021/5/24,20.9,26.5,17.3,0,1.8
2021/5/25,21.4,25.9,16.8,0,5.9
2021/5/26,20.1,24.5,15.4,0,5.6
2021/5/27,15.5,18.8,13.2,43,0.1
2021/5/28,19.8,25.1,15.4,0,2.6
2021/5/29,22.5,28.2,18.2,0,8.2
2021/5/30,21.7,27.6,16.4,0,13.6
2021/5/31,21,27,15,0,9.4
2021/6/1,22.3,28.4,18.2,0,10.2
2021/6/2,22.4,26,19.3,0,2.1
2021/6/3,22.6,28.4,18.4,0,7.8
2021/6/4,20.5,23.1,18.1,23,0
2021/6/5,21.4,25.7,15.6,0,4.4
2021/6/6,22.2,28,18.7,1,3.1
2021/6/7,25.6,31.8,20.5,0,9
2021/6/8,25.8,32.4,20.1,0,9.8
2021/6/9,25.2,31.3,19.1,0,13.7
